year,deminit_trde_freight_mt_km
2015,42403.96837455386
2016,44432.14755278762
2017,45827.19143199601
2018,48713.859151281096
2019,51852.7078795
2020,51852.7078795
2021,51852.7078795
2022,51852.7078795
2023,51852.7078795
2024,51852.7078795
2025,51852.7078795
2026,51852.7078795
2027,51852.7078795
2028,51852.7078795
2029,51852.7078795
2030,51852.7078795
2031,51852.7078795
2032,51852.7078795
2033,51852.7078795
2034,51852.7078795
2035,51852.7078795
2036,51852.7078795
2037,51852.7078795
2038,51852.7078795
2039,51852.7078795
2040,51852.7078795
2041,51852.7078795
2042,51852.7078795
2043,51852.7078795
2044,51852.7078795
2045,51852.7078795
2046,51852.7078795
2047,51852.7078795
2048,51852.7078795
2049,51852.7078795
2050,51852.7078795
2051,51852.7078795
2052,51852.7078795
2053,51852.7078795
2054,51852.7078795
2055,51852.7078795
2056,51852.7078795
2057,51852.7078795
2058,51852.7078795
2059,51852.7078795
2060,51852.7078795
2061,51852.7078795
2062,51852.7078795
2063,51852.7078795
2064,51852.7078795
2065,51852.7078795
2066,51852.7078795
2067,51852.7078795
2068,51852.7078795
2069,51852.7078795
2070,51852.7078795
2071,51852.7078795
2072,51852.7078795
2073,51852.7078795
2074,51852.7078795
2075,51852.7078795
2076,51852.7078795
2077,51852.7078795
2078,51852.7078795
2079,51852.7078795
2080,51852.7078795
2081,51852.7078795
2082,51852.7078795
2083,51852.7078795
2084,51852.7078795
2085,51852.7078795
2086,51852.7078795
2087,51852.7078795
2088,51852.7078795
2089,51852.7078795
2090,51852.7078795
2091,51852.7078795
2092,51852.7078795
2093,51852.7078795
2094,51852.7078795
2095,51852.7078795
2096,51852.7078795
2097,51852.7078795
2098,51852.7078795
2099,51852.7078795
2100,51852.7078795
